User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities
1,20,non-binary,bangalore,undergraduate,freelancer,hinge,hinge,monthly,1 hour,finding a partner,4,safety concerns,audio calls,video calls,Values > Personality > Appearance
2,24,female,delhi,undergraduate,part-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,time-wasting,video calls,text,Values > Personality > Appearance
3,24,non-binary,kolkata,undergraduate,intern,none,none,weekly,2 hours,casual dating,4,safety concerns,detailed profiles,text,Values > Personality > Appearance
4,22,non-binary,delhi,graduate,full-time job,none,okcupid,daily,30 minutes,casual fun,3,unknown,ai recommendations,voice notes,Personality > Interests > Values
5,18,male,delhi,graduate,intern,okcupid,okcupid,weekly,2 hours,casual fun,4,safety concerns,video calls,text,Appearance > Interests > Personality
6,23,female,mumbai,undergraduate,student,okcupid,none,daily,1.5 hours,casual dating,2,unknown,audio calls,video calls,Values > Personality > Appearance
7,22,non-binary,chennai,postgraduate,part-time job,tinder,tinder,monthly,30 minutes,finding a partner,4,time-wasting,audio calls,text,Personality > Interests > Values
8,21,female,pune,postgraduate,freelancer,hinge,tinder,weekly,1.5 hours,finding a partner,2,safety concerns,audio calls,video calls,Values > Personality > Appearance
9,20,male,pune,postgraduate,part-time job,hinge,okcupid,daily,2 hours,finding a partner,1,lack of genuine matches,audio calls,text,Values > Personality > Appearance
10,20,non-binary,chennai,undergraduate,intern,okcupid,bumble,weekly,3 hours,finding a partner,1,safety concerns,location-based matching,video calls,Values > Personality > Appearance
11,18,female,hyderabad,postgraduate,full-time job,tinder,hinge,daily,1 hour,social interaction,1,unknown,location-based matching,voice notes,Appearance > Interests > Personality
12,21,male,delhi,undergraduate,part-time job,none,none,monthly,3 hours,finding a partner,1,unknown,audio calls,voice notes,Appearance > Interests > Personality
13,22,male,bangalore,undergraduate,student,hinge,okcupid,monthly,1 hour,casual dating,3,time-wasting,video calls,video calls,Personality > Interests > Values
14,19,non-binary,bangalore,undergraduate,student,hinge,bumble,daily,2 hours,social interaction,1,unknown,ai recommendations,voice notes,Personality > Interests > Values
15,22,non-binary,chennai,graduate,intern,hinge,none,daily,1.5 hours,casual fun,1,lack of genuine matches,audio calls,voice notes,Appearance > Interests > Personality
16,19,female,bangalore,undergraduate,freelancer,hinge,okcupid,daily,1.5 hours,casual dating,5,time-wasting,detailed profiles,text,Appearance > Interests > Personality
17,22,non-binary,hyderabad,graduate,part-time job,bumble,tinder,monthly,1 hour,casual fun,3,lack of genuine matches,location-based matching,video calls,Values > Personality > Appearance
18,19,non-binary,hyderabad,graduate,student,okcupid,okcupid,monthly,1 hour,finding a partner,3,safety concerns,detailed profiles,text,Personality > Interests > Values
19,24,male,hyderabad,graduate,intern,none,hinge,daily,30 minutes,casual dating,2,lack of genuine matches,ai recommendations,video calls,Personality > Interests > Values
20,22,non-binary,pune,undergraduate,student,hinge,hinge,weekly,1.5 hours,finding a partner,1,time-wasting,video calls,voice notes,Appearance > Interests > Personality
21,22,male,mumbai,postgraduate,freelancer,hinge,bumble,weekly,3 hours,social interaction,1,safety concerns,ai recommendations,video calls,Values > Personality > Appearance
22,25,non-binary,hyderabad,undergraduate,intern,none,none,weekly,3 hours,finding a partner,5,lack of genuine matches,ai recommendations,text,Appearance > Interests > Personality
23,20,female,pune,graduate,full-time job,hinge,okcupid,daily,3 hours,finding a partner,4,safety concerns,audio calls,video calls,Appearance > Interests > Personality
24,18,male,delhi,graduate,freelancer,tinder,bumble,weekly,2 hours,casual dating,5,time-wasting,detailed profiles,text,Appearance > Interests > Personality
25,24,male,bangalore,postgraduate,full-time job,none,tinder,daily,2 hours,social interaction,3,time-wasting,location-based matching,text,Values > Personality > Appearance
26,24,male,kolkata,graduate,full-time job,bumble,okcupid,weekly,3 hours,social interaction,2,lack of genuine matches,detailed profiles,voice notes,Values > Personality > Appearance
27,21,female,delhi,undergraduate,student,bumble,tinder,weekly,3 hours,casual dating,5,lack of genuine matches,location-based matching,video calls,Appearance > Interests > Personality
28,23,male,kolkata,undergraduate,part-time job,bumble,none,weekly,2 hours,casual fun,1,time-wasting,location-based matching,voice notes,Appearance > Interests > Personality
29,19,female,chennai,undergraduate,student,okcupid,okcupid,weekly,3 hours,casual dating,4,lack of genuine matches,detailed profiles,video calls,Appearance > Interests > Personality
30,18,male,mumbai,undergraduate,freelancer,tinder,tinder,daily,3 hours,finding a partner,4,unknown,location-based matching,voice notes,Personality > Interests > Values
31,24,non-binary,bangalore,graduate,full-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,unknown,audio calls,voice notes,Personality > Interests > Values
32,20,male,bangalore,graduate,full-time job,hinge,okcupid,monthly,1 hour,finding a partner,3,time-wasting,detailed profiles,voice notes,Values > Personality > Appearance
33,24,female,delhi,graduate,part-time job,none,okcupid,weekly,30 minutes,casual dating,3,time-wasting,detailed profiles,text,Personality > Interests > Values
34,25,male,kolkata,graduate,full-time job,none,hinge,weekly,3 hours,finding a partner,5,time-wasting,location-based matching,voice notes,Appearance > Interests > Personality
35,21,female,delhi,graduate,full-time job,bumble,okcupid,daily,2 hours,casual dating,3,safety concerns,audio calls,voice notes,Values > Personality > Appearance
36,22,non-binary,mumbai,postgraduate,part-time job,none,hinge,monthly,30 minutes,finding a partner,3,lack of genuine matches,ai recommendations,text,Appearance > Interests > Personality
37,22,female,kolkata,undergraduate,intern,bumble,none,monthly,1 hour,finding a partner,3,safety concerns,video calls,voice notes,Personality > Interests > Values
38,20,female,mumbai,undergraduate,full-time job,hinge,tinder,daily,1.5 hours,finding a partner,1,lack of genuine matches,audio calls,voice notes,Appearance > Interests > Personality
39,21,male,delhi,postgraduate,full-time job,bumble,tinder,daily,1 hour,casual fun,1,safety concerns,location-based matching,voice notes,Personality > Interests > Values
40,18,male,kolkata,graduate,intern,tinder,bumble,weekly,1 hour,social interaction,5,unknown,audio calls,video calls,Appearance > Interests > Personality
41,24,male,bangalore,undergraduate,student,bumble,tinder,daily,1.5 hours,finding a partner,3,time-wasting,video calls,video calls,Values > Personality > Appearance
42,19,female,pune,postgraduate,part-time job,none,tinder,weekly,2 hours,casual dating,2,safety concerns,detailed profiles,voice notes,Values > Personality > Appearance
43,19,female,bangalore,graduate,part-time job,okcupid,okcupid,weekly,2 hours,social interaction,4,unknown,location-based matching,voice notes,Values > Personality > Appearance
44,23,female,delhi,postgraduate,freelancer,tinder,hinge,weekly,2 hours,casual fun,5,lack of genuine matches,location-based matching,video calls,Personality > Interests > Values
45,21,male,delhi,undergraduate,student,tinder,none,daily,1.5 hours,casual dating,2,lack of genuine matches,ai recommendations,text,Values > Personality > Appearance
46,19,female,hyderabad,graduate,intern,none,okcupid,weekly,2 hours,casual dating,5,safety concerns,audio calls,video calls,Values > Personality > Appearance
47,21,male,kolkata,graduate,intern,okcupid,hinge,daily,1.5 hours,finding a partner,1,unknown,video calls,video calls,Values > Personality > Appearance
48,24,non-binary,bangalore,undergraduate,full-time job,bumble,none,weekly,2 hours,finding a partner,2,time-wasting,location-based matching,voice notes,Values > Personality > Appearance
49,21,male,bangalore,postgraduate,student,okcupid,none,weekly,30 minutes,casual fun,3,lack of genuine matches,location-based matching,voice notes,Appearance > Interests > Personality
50,19,male,kolkata,postgraduate,full-time job,bumble,none,weekly,30 minutes,casual dating,2,unknown,ai recommendations,voice notes,Appearance > Interests > Personality
51,19,female,pune,postgraduate,freelancer,bumble,tinder,monthly,1 hour,social interaction,5,unknown,video calls,voice notes,Personality > Interests > Values
52,25,non-binary,delhi,graduate,part-time job,tinder,okcupid,daily,3 hours,finding a partner,2,time-wasting,detailed profiles,video calls,Appearance > Interests > Personality
53,25,male,mumbai,graduate,full-time job,bumble,tinder,daily,1.5 hours,casual fun,2,lack of genuine matches,location-based matching,video calls,Appearance > Interests > Personality
54,18,male,delhi,postgraduate,student,hinge,okcupid,weekly,3 hours,social interaction,5,safety concerns,ai recommendations,video calls,Appearance > Interests > Personality
55,22,non-binary,mumbai,undergraduate,freelancer,hinge,okcupid,monthly,3 hours,finding a partner,3,unknown,location-based matching,voice notes,Values > Personality > Appearance
56,20,non-binary,mumbai,undergraduate,intern,none,hinge,weekly,1.5 hours,finding a partner,5,unknown,video calls,video calls,Appearance > Interests > Personality
57,23,non-binary,delhi,postgraduate,freelancer,tinder,bumble,daily,1.5 hours,social interaction,3,unknown,location-based matching,video calls,Values > Personality > Appearance
58,19,female,mumbai,postgraduate,student,okcupid,none,daily,2 hours,casual fun,3,time-wasting,location-based matching,video calls,Personality > Interests > Values
59,19,female,pune,postgraduate,student,okcupid,bumble,daily,3 hours,casual fun,5,unknown,ai recommendations,voice notes,Appearance > Interests > Personality
60,22,male,chennai,undergraduate,full-time job,okcupid,bumble,monthly,3 hours,social interaction,1,time-wasting,video calls,video calls,Values > Personality > Appearance
61,22,non-binary,bangalore,undergraduate,intern,okcupid,hinge,weekly,30 minutes,casual dating,4,safety concerns,detailed profiles,video calls,Values > Personality > Appearance
62,24,female,bangalore,postgraduate,freelancer,tinder,hinge,weekly,2 hours,social interaction,3,unknown,ai recommendations,text,Personality > Interests > Values
63,21,female,chennai,graduate,part-time job,okcupid,tinder,daily,1.5 hours,social interaction,4,time-wasting,ai recommendations,text,Personality > Interests > Values
64,20,female,delhi,postgraduate,intern,none,okcupid,monthly,1 hour,finding a partner,5,time-wasting,ai recommendations,voice notes,Appearance > Interests > Personality
65,23,male,kolkata,graduate,intern,hinge,bumble,weekly,2 hours,casual dating,4,safety concerns,audio calls,video calls,Personality > Interests > Values
66,22,male,chennai,undergraduate,part-time job,bumble,okcupid,monthly,1.5 hours,social interaction,5,safety concerns,audio calls,video calls,Values > Personality > Appearance
67,18,female,pune,postgraduate,intern,none,hinge,daily,2 hours,casual fun,2,safety concerns,ai recommendations,text,Appearance > Interests > Personality
68,22,male,bangalore,graduate,full-time job,okcupid,none,daily,1 hour,finding a partner,1,unknown,ai recommendations,voice notes,Appearance > Interests > Personality
